Date,Open,High,Low,Close,Adj Close,Volume
2023-12-18,1417.800049,1454.201050,1415.000000,1442.599976,1428.703735,5535474
2023-12-19,1441.000000,1446.400024,1425.400024,1432.800049,1418.998169,6353472
2023-12-20,1445.800049,1464.672974,1424.199951,1445.199951,1431.278687,9411480
2023-12-21,1440.800049,1458.803955,1432.000000,1450.000000,1436.032471,8395369
2023-12-22,1450.400024,1469.953979,1447.800049,1449.599976,1435.636353,1853367
2023-12-27,1449.800049,1464.599976,1445.599976,1449.599976,1435.636353,2222034
2023-12-28,1452.000000,1465.000000,1448.400024,1461.199951,1447.124512,2535777
2023-12-29,1456.000000,1473.376953,1450.199951,1450.199951,1436.230469,1660073
2024-01-02,1460.199951,1480.699951,1453.199951,1479.800049,1465.545532,10462801
2024-01-03,1509.800049,1521.000000,1498.400024,1520.400024,1505.754395,9308004
2024-01-04,1531.000000,1539.800049,1512.400024,1539.800049,1524.967529,6947561
2024-01-05,1537.599976,1554.599976,1529.199951,1541.199951,1526.353882,6314510
2024-01-08,1539.000000,1549.000000,1537.599976,1549.000000,1534.078857,7772803
2024-01-09,1550.000000,1578.000000,1547.402954,1576.199951,1561.016846,9926867
2024-01-10,1568.000000,1573.199951,1561.400024,1570.800049,1555.668945,4041183
2024-01-11,1571.000000,1581.800049,1539.000000,1556.400024,1541.407593,11024129
2024-01-12,1560.199951,1578.400024,1558.199951,1573.000000,1557.847656,5260876
2024-01-15,1582.000000,1585.500000,1569.400024,1580.000000,1564.780273,9835429
2024-01-16,1591.199951,1594.199951,1570.400024,1581.800049,1566.562988,9469587
2024-01-17,1569.800049,1583.800049,1563.571045,1575.599976,1560.422607,7758321
2024-01-18,1570.400024,1573.199951,1550.199951,1555.599976,1540.615234,7677731
2024-01-19,1560.599976,1564.199951,1549.400024,1563.599976,1548.538208,12590707
2024-01-22,1562.800049,1562.800049,1533.400024,1555.800049,1540.813354,6704340
2024-01-23,1554.800049,1558.599976,1536.599976,1554.199951,1539.228760,11751890
2024-01-24,1550.400024,1559.199951,1538.802002,1554.800049,1539.822998,8998900
2024-01-25,1542.400024,1549.400024,1518.400024,1521.199951,1506.546631,6789568
2024-01-26,1531.000000,1549.000000,1531.000000,1537.000000,1522.194458,7066032
2024-01-29,1541.199951,1552.599976,1532.400024,1533.599976,1518.827148,5988660
2024-01-30,1532.199951,1555.800049,1530.000000,1537.800049,1522.986816,7302953
2024-01-31,1535.000000,1622.599976,1514.800049,1568.000000,1552.895874,15583461
2024-02-01,1582.800049,1603.199951,1560.599976,1586.199951,1570.920410,22807519
2024-02-02,1598.599976,1612.400024,1575.000000,1611.199951,1595.679688,13838549
2024-02-05,1624.800049,1670.099976,1621.010010,1662.599976,1646.584595,12160208
